INFO  2023-12-20 14:38:29,440  Title       : Types of Mutual Fund Schemes in India - HDFC Mutual Fund
INFO  2023-12-20 14:38:29,440  Description : Know the different types of HDFC mutual funds offered by HDFC Mutual Funds and choose the right one as per your investment goals like equity, debt, hybrid mutual funds.

INFO  2023-12-20 14:38:29,440  Category    : 
INFO  2023-12-20 14:38:29,440  Subcategory : 
INFO  2023-12-20 14:38:29,452  The url https://www.hdfcfund.com/product-solutions/duration-based-debt completed
INFO  2023-12-20 14:38:29,452  
INFO  2023-12-20 14:38:29,483  The url : https://www.hdfcfund.com/about-us/corporate-profile/what-we-stand-for started....
INFO  2023-12-20 14:38:31,611  Browser listening on: ws://127.0.0.1:57298/devtools/browser/d73cb9d2-ebb8-4bdd-81a7-366b219c7544
INFO  2023-12-20 14:38:35,588  Title       : About Us - HDFC Asset Management Company in India - HDFC Mutual Fund
INFO  2023-12-20 14:38:35,588  Description : HDFC MF investment philosophy includes invest profitably, thorough research and analysis and controlled risk investment
INFO  2023-12-20 14:38:35,588  Category    : 
INFO  2023-12-20 14:38:35,588  Subcategory : 
INFO  2023-12-20 14:38:35,588  The url https://www.hdfcfund.com/about-us/corporate-profile/what-we-stand-for completed
INFO  2023-12-20 14:38:35,588  
INFO  2023-12-20 14:38:35,619  The url : https://www.hdfcfund.com/learners-corner/the-reading-room started....
INFO  2023-12-20 14:38:36,621  Browser listening on: ws://127.0.0.1:57342/devtools/browser/d1b79210-04e3-485a-a899-5b92aa6d8f89
INFO  2023-12-20 14:38:40,798  Title       : The Reading Room
INFO  2023-12-20 14:38:40,798  Description : 
INFO  2023-12-20 14:38:40,798  Category    : 
INFO  2023-12-20 14:38:40,798  Subcategory : 
INFO  2023-12-20 14:38:40,813  The url https://www.hdfcfund.com/learners-corner/the-reading-room completed
INFO  2023-12-20 14:38:40,813  
INFO  2023-12-20 14:38:40,829  The url : https://www.hdfcfund.com/distributor-corner/onboard-digitally/connekt started....
INFO  2023-12-20 14:38:43,046  Browser listening on: ws://127.0.0.1:57387/devtools/browser/0068bfda-9894-4b9b-86c4-8bf9af68cea9
INFO  2023-12-20 14:38:46,649  Title       : Why Online
INFO  2023-12-20 14:38:46,649  Description : 
INFO  2023-12-20 14:38:46,661  Category    : 
INFO  2023-12-20 14:38:46,661  Subcategory : 
INFO  2023-12-20 14:38:46,661  The url https://www.hdfcfund.com/distributor-corner/onboard-digitally/connekt completed
INFO  2023-12-20 14:38:46,661  
INFO  2023-12-20 14:38:46,771  The url : https://www.hdfcfund.com/about-us/corporate-governance/code-policy started....
INFO  2023-12-20 14:38:49,331  Browser listening on: ws://127.0.0.1:57431/devtools/browser/42bdbfa4-e0f8-4547-91ef-09fb66d17852
INFO  2023-12-20 14:38:52,143  Title       : Codes and Policies for Corporate Governance - HDFC Mutual Fund
INFO  2023-12-20 14:38:52,143  Description : Know HDFC Mutual Fund's Codes and Policies for corporate governance for example the Code of Conduct for Directors and Senior Management Personnel, Whistle Blower Policy and others. 

INFO  2023-12-20 14:38:52,143  Category    : 
INFO  2023-12-20 14:38:52,143  Subcategory : 
INFO  2023-12-20 14:38:52,159  The url https://www.hdfcfund.com/about-us/corporate-governance/code-policy completed
INFO  2023-12-20 14:38:52,159  
INFO  2023-12-20 14:38:52,253  The url : https://www.hdfcfund.com/insights/md-ceo-desk started....
INFO  2023-12-20 14:38:53,265  Browser listening on: ws://127.0.0.1:57473/devtools/browser/bf9d3346-df64-41e1-acd0-06269d47cbfd
INFO  2023-12-20 14:38:56,168  Title       : India Investment Story by Navneet Munot MD & CEO - HDFC Mutual Fund
INFO  2023-12-20 14:38:56,168  Description : India growth story - an unique India investment model and solution for an Atmanirbhar Bharat. True to believe - On top of the world, yet a long way to go!
INFO  2023-12-20 14:38:56,168  Category    : 
INFO  2023-12-20 14:38:56,168  Subcategory : 
